"photo_id","year","county","point_x","point_y"
"ARW-4-17",1938,"Cayuga",373060.09,4784296.49
"ARW-4-19",1938,"Cayuga",372877.83,4781671.02
"ARW-4-21",1938,"Cayuga",372995.96,4779071.62
"ARW-4-23",1938,"Cayuga",372828.37,4776238.11
"ARW-4-25",1938,"Cayuga",372878.74,4773532.31
"ARW-4-27",1938,"Cayuga",372815.78,4770965.03
"ARW-4-30",1938,"Cayuga",369663.29,4770940.58
"ARW-4-32",1938,"Cayuga",369836.65,4773471.09
"ARW-4-34",1938,"Cayuga",369822.21,4776218.30
"ARW-4-36",1938,"Cayuga",370087.82,4778726.31
"ARW-4-38",1938,"Cayuga",369824.49,4781705.12
"ARW-4-40",1938,"Cayuga",369608.93,4784505.24
"ARW-4-42",1938,"Cayuga",370257.86,4787117.26
"ARW-4-44",1938,"Cayuga",370530.60,4789691.67
"ARW-4-46",1938,"Cayuga",370521.19,4792341.31
"ARW-4-48",1938,"Cayuga",370483.57,4795028.57
"ARW-4-50",1938,"Cayuga",370511.37,4798206.52
"ARW-4-52",1938,"Cayuga",370059.94,4800837.35
"ARW-4-54",1938,"Cayuga",370219.82,4803571.64
"ARW-4-56",1938,"Cayuga",370407.92,4806324.73
"ARW-4-58",1938,"Cayuga",370125.77,4808936.76
"ARW-4-62",1938,"Cayuga",367380.00,4807399.65
"ARW-4-64",1938,"Cayuga",367252.36,4804266.28
"ARW-4-66",1938,"Cayuga",367085.13,4801669.34
"ARW-4-68",1938,"Cayuga",367154.81,4798974.86
"ARW-4-70",1938,"Cayuga",367071.19,4796168.89
"ARW-4-72",1938,"Cayuga",366903.97,4793683.44
"ARW-4-74",1938,"Cayuga",367267.14,4790910.64
"ARW-4-76",1938,"Cayuga",367279.68,4788102.38
"ARW-4-78",1938,"Cayuga",367066.51,4785331.75
"ARW-4-80",1938,"Cayuga",366987.76,4782749.21
"ARW-4-82",1938,"Cayuga",366962.68,4779903.33
"ARW-4-84",1938,"Cayuga",366893.71,4777236.15
"ARW-4-86",1938,"Cayuga",366909.26,4774325.76
"ARW-4-88",1938,"Cayuga",367068.18,4771583.07
"ARW-4-90",1938,"Cayuga",366448.43,4768047.71
"ARW-4-92",1938,"Cayuga",366624.49,4766087.13
"ARW-4-94",1938,"Cayuga",366385.55,4763434.88
"ARW-4-96",1938,"Cayuga",366360.40,4760531.12
"ARW-5-01",1938,"Cayuga",384777.28,4718893.02
"ARW-5-02",1938,"Cayuga",384751.19,4720415.37
"ARW-5-04",1938,"Cayuga",384542.42,4722994.60
"ARW-5-06",1938,"Cayuga",384581.56,4725665.18
"ARW-5-08",1938,"Cayuga",384490.23,4728400.99
"ARW-5-10",1938,"Cayuga",385006.76,4730843.99
"ARW-5-12",1938,"Cayuga",384913.98,4733442.96
"ARW-5-14",1938,"Cayuga",385122.74,4736003.28
"ARW-5-16",1938,"Cayuga",385122.74,4738470.81
"ARW-5-18",1938,"Cayuga",384968.10,4740984.73
"ARW-5-20",1938,"Cayuga",384932.07,4743375.65
"ARW-5-22",1938,"Cayuga",384872.72,4745979.91
"ARW-5-24",1938,"Cayuga",387617.62,4745141.90
"ARW-5-26",1938,"Cayuga",388033.07,4742122.81
"ARW-5-28",1938,"Cayuga",388255.63,4738985.01
"ARW-5-30",1938,"Cayuga",388252.65,4736002.47
"ARW-5-32",1938,"Cayuga",388016.79,4733005.94
"ARW-5-34",1938,"Cayuga",388016.79,4730166.64
"ARW-5-36",1938,"Cayuga",388016.79,4726945.49
"ARW-5-38",1938,"Cayuga",387859.56,4724027.58
"ARW-5-40",1938,"Cayuga",387764.03,4721033.12
"ARW-5-42",1938,"Cayuga",387928.89,4718099.20
"ARW-5-44",1938,"Cayuga",391088.70,4717830.51
"ARW-5-46",1938,"Cayuga",391184.86,4720391.90
"ARW-5-48",1938,"Cayuga",391281.03,4723173.11
"ARW-5-50",1938,"Cayuga",391135.96,4725968.27
"ARW-5-52",1938,"Cayuga",391193.66,4728537.90
"ARW-5-54",1938,"Cayuga",391193.66,4731072.92
"ARW-5-55",1938,"Cayuga",391297.52,4732569.32
"ARW-5-57",1938,"Cayuga",391343.68,4734873.53
"ARW-5-59",1938,"Cayuga",391262.90,4737547.03
"ARW-5-63",1938,"Cayuga",390807.50,4742727.45
"ARW-5-73",1938,"Cayuga",394301.80,4730084.37
"ARW-5-75",1938,"Cayuga",394301.80,4727285.09
"ARW-5-77",1938,"Cayuga",394467.21,4724414.91
"ARW-5-79",1938,"Cayuga",394490.84,4721674.71
"ARW-5-81",1938,"Cayuga",394409.88,4718796.13
"ARW-6-02",1938,"Cayuga",359015.26,4726883.63
"ARW-6-04",1938,"Cayuga",359045.44,4729932.89
"ARW-6-06",1938,"Cayuga",359649.02,4732700.48
"ARW-6-08",1938,"Cayuga",359598.72,4735588.79
"ARW-6-10",1938,"Cayuga",359208.46,4738736.06
"ARW-6-12",1938,"Cayuga",359275.32,4741103.52
"ARW-6-14",1938,"Cayuga",359422.42,4743992.50
"ARW-6-16",1938,"Cayuga",359729.98,4747028.57
"ARW-6-21",1938,"Cayuga",376091.31,4781257.54
"ARW-6-23",1938,"Cayuga",376049.25,4784184.01
"ARW-6-25",1938,"Cayuga",376175.43,4786858.12
"ARW-6-27",1938,"Cayuga",376739.74,4789469.96
